Alabama Alabamian
Alaska Alaskan
Arizona Arizonian
Arkansas Arkansan
California Californian
Colorado Coloradan
Connecticut Connecticuter
Delaware Delawarean
Florida Floridian
Georgia Georgian
Hawaii Hawaiian
Idaho Idahoan
Illinois Illinoisan
Indiana Indianan
Iowa Iowan
Kansas Kansan
Kentucky Kentuckian
Louisiana Louisianan
Maine Mainer
Maryland Marylander
Massachusetts Massachusettsan
Michigan Michiganian
Minnesota Minnesotan
Mississippi Mississippian
Missouri Missourian
Montana Montanan
Nebraska Nebraskan
Nevada Nevadan Nevadian
New-Hampshire New-Hampshirite
New-Jersey New-Jerseyan
New-Mexico New-Mexican
New-York New-Yorker
North-Carolina North-Carolinian
North-Dakota North-Dakotan
Ohio Ohioan
Oklahoma Oklahoman
Oregon Oregonian
Pennsylvania Pennsylvanian
Rhode-Island Rhode-Islander
South-Carolina South-Carolinian
South-Dakota South-Dakotan
Tennessee Tennessean
Texas Texan
Utah Utahn
Vermont Vermonter
Virginia Virginian
Washington Washingtonian
West-Virginia West-Virginian
Wisconsin Wisconsinite
Wyoming Wyomingite 
